team,matches,wins,draws,losses,goals_for,goals_against,goal_difference,points,avg_possession,shots,shots_on_target,shot_accuracy_pct,shots_per_match,goals_per_match,fouls,yellow_cards,red_cards,corners,crosses,interceptions,offsides,offsides_matches,avg_attendance
France,3,3,0,0,10,2,8,9,55.7,48,22,45.8,16.0,3.33,24,1,0,15,32,23,4,3,71005.0
Argentina,3,3,0,0,8,1,7,9,58.3,34,15,44.1,11.3,2.67,33,2,0,9,14,32,8,3,70114.3
Mexico,3,3,0,0,6,0,6,9,50.3,35,13,37.1,11.7,2.0,34,2,1,4,30,22,4,3,69056.7
Netherlands,3,2,1,0,10,4,6,7,61.0,40,20,50.0,13.3,3.33,26,3,0,13,64,25,5,3,68817.7
Brazil,3,2,1,0,7,1,6,7,54.0,41,19,46.3,13.7,2.33,40,5,0,16,37,28,9,3,71155.0
Spain,3,2,1,0,5,0,5,7,69.3,55,16,29.1,18.3,1.67,34,2,0,23,73,31,6,3,60314.7
Switzerland,3,2,1,0,7,3,4,7,61.7,45,18,40.0,15.0,2.33,37,3,0,19,63,16,5,3,63496.3
England,3,2,1,0,6,2,4,7,66.0,58,20,34.5,19.3,2.0,37,2,0,24,68,13,6,3,71678.3
Morocco,3,2,1,0,6,3,3,7,59.0,48,16,33.3,16.0,2.0,32,1,0,16,47,16,6,3,71016.0
Colombia,3,2,1,0,4,1,3,7,60.3,59,19,32.2,19.7,1.33,35,4,0,14,37,21,13,3,63553.3
Germany,3,2,0,1,10,4,6,6,61.7,53,22,41.5,17.7,3.33,33,1,0,18,49,21,0,2,63906.7
United States,3,2,0,1,8,4,4,6,60.0,44,15,34.1,14.7,2.67,38,5,0,19,49,43,8,3,69303.0
Côte d'Ivoire,3,2,0,1,4,2,2,6,50.7,31,9,29.0,10.3,1.33,23,4,0,12,32,36,2,2,59878.0
Norway,3,2,0,1,8,7,1,6,48.7,35,16,45.7,11.7,2.67,35,1,0,14,36,24,1,3,69305.0
Croatia,3,2,0,1,5,5,0,6,53.0,24,11,45.8,8.0,1.67,33,2,0,7,45,16,4,3,60583.0
Portugal,3,1,2,0,6,1,5,5,62.0,37,12,32.4,12.3,2.0,29,4,0,10,59,18,7,3,67344.0
Japan,3,1,2,0,7,3,4,5,51.3,29,11,37.9,9.7,2.33,42,1,0,11,47,14,4,3,63555.0
Belgium,3,1,2,0,6,2,4,5,59.7,73,20,27.4,24.3,2.0,29,3,1,14,64,23,4,3,63196.3
Egypt,3,1,2,0,5,3,2,5,54.3,48,13,27.1,16.0,1.67,34,6,0,18,50,26,1,3,62065.7
Canada,3,1,1,1,8,3,5,4,61.7,58,21,36.2,19.3,2.67,32,5,0,35,105,23,5,3,49332.0
Congo DR,3,1,1,1,4,3,1,4,40.0,34,7,20.6,11.3,1.33,32,5,0,10,44,19,5,3,60791.3
Sweden,3,1,1,1,7,7,0,4,48.7,40,20,50.0,13.3,2.33,33,5,0,17,49,19,8,3,63300.3
Austria,3,1,1,1,6,6,0,4,48.0,27,8,29.6,9.0,2.0,32,4,0,10,46,34,6,3,69407.0
Australia,3,1,1,1,2,2,0,4,40.7,26,11,42.3,8.7,0.67,34,5,0,12,46,20,1,2,62749.7
Ecuador,3,1,1,1,2,2,0,4,55.3,46,19,41.3,15.3,0.67,35,5,0,17,58,32,1,1,72511.7
Ghana,3,1,1,1,2,2,0,4,35.3,16,4,25.0,5.3,0.67,46,3,0,6,33,26,8,3,58416.3
Bosnia–Herz,3,1,1,1,5,6,-1,4,44.0,27,11,40.7,9.0,1.67,47,6,1,12,44,26,2,3,59984.3
South Africa,3,1,1,1,2,3,-1,4,44.7,33,10,30.3,11.0,0.67,28,5,2,10,33,31,7,3,66503.0
Algeria,3,1,1,1,5,7,-2,4,63.0,36,13,36.1,12.0,1.67,17,1,0,12,34,21,2,3,68820.3
Paraguay,3,1,1,1,2,4,-2,4,33.7,23,5,21.7,7.7,0.67,41,7,1,2,18,26,4,2,69382.0
Senegal,3,1,0,2,8,6,2,3,57.7,50,18,36.0,16.7,2.67,24,2,0,20,57,20,8,3,68081.3
IR Iran,3,0,3,0,3,3,0,3,39.0,37,11,29.7,12.3,1.0,35,6,0,8,37,32,9,3,69116.7
Cabo Verde,3,0,3,0,2,2,0,3,37.3,33,7,21.2,11.0,0.67,15,4,0,9,29,42,5,3,66640.3
Korea Republic,3,1,0,2,2,3,-1,3,63.0,32,11,34.4,10.7,0.67,25,4,0,12,54,20,8,3,47250.0
Türkiye,3,1,0,2,3,5,-2,3,66.3,71,16,22.5,23.7,1.0,31,3,0,22,79,18,7,3,63938.7
Scotland,3,1,0,2,1,4,-3,3,44.3,29,7,24.1,9.7,0.33,42,5,0,12,50,17,2,3,64256.7
Uruguay,3,0,2,1,3,4,-1,2,55.0,49,13,26.5,16.3,1.0,31,5,1,26,92,32,14,3,57277.3
Saudi Arabia,3,0,2,1,1,5,-4,2,38.3,17,7,41.2,5.7,0.33,29,6,0,7,22,29,3,3,66427.0
Czechia,3,0,1,2,2,6,-4,1,42.7,34,8,23.5,11.3,0.67,37,1,0,15,57,19,5,3,64417.0
New Zealand,3,0,1,2,4,10,-6,1,47.0,31,15,48.4,10.3,1.33,32,4,0,10,44,24,4,3,58367.3
Qatar,3,0,1,2,2,10,-8,1,33.0,18,7,38.9,6.0,0.67,36,4,2,9,28,25,4,3,62462.7
Curaçao,3,0,1,2,1,9,-8,1,32.3,29,7,24.1,9.7,0.33,32,7,0,5,23,39,5,3,68314.3
Panama,3,0,0,3,0,4,-4,0,45.7,32,7,21.9,10.7,0.0,46,5,0,12,59,15,6,3,55547.0
Jordan,3,0,0,3,3,8,-5,0,30.7,24,9,37.5,8.0,1.0,31,4,0,6,27,33,3,3,69182.3
Haiti,3,0,0,3,2,8,-6,0,42.7,31,7,22.6,10.3,0.67,55,7,0,9,37,29,7,3,66903.0
Uzbekistan,3,0,0,3,2,11,-9,0,38.3,18,5,27.8,6.0,0.67,45,4,0,9,37,33,3,3,72613.3
Tunisia,3,0,0,3,2,12,-10,0,39.3,18,6,33.3,6.0,0.67,27,1,0,9,36,27,9,3,56873.7
Iraq,3,0,0,3,1,12,-11,0,38.3,21,2,9.5,7.0,0.33,27,4,1,7,28,23,1,3,58155.3
