subset,font_count,avg_variant_count,display_count,handwriting_count,monospace_count,sans_serif_count,serif_count
latin,1923,3.97,463,356,59,700,345
latin-ext,1508,4.52,352,199,47,630,280
vietnamese,511,6.83,90,99,21,215,86
cyrillic,293,6.31,64,15,19,128,67
cyrillic-ext,233,7.34,57,7,18,107,44
greek,117,8.80,10,4,15,60,28
math,79,4.70,26,5,6,30,12
symbols,72,4.56,24,1,6,31,10
greek-ext,71,8.41,3,3,9,37,19
japanese,67,2.66,11,7,1,28,20
devanagari,62,4.35,10,4,0,27,21
hebrew,62,3.71,28,4,1,18,11
arabic,54,5.11,12,1,0,26,15
korean,38,2.42,10,7,0,14,7
thai,34,8.82,2,6,0,21,5
khmer,28,3.32,13,0,0,10,5
telugu,27,2.59,4,1,0,15,7
tamil,17,5.12,4,1,0,10,2
symbols2,17,7.18,0,1,7,7,2
chinese-traditional,16,3.56,0,3,1,9,3
gujarati,13,5.08,6,0,0,5,2
bengali,11,5.27,4,0,0,5,2
kannada,10,4.20,2,0,0,4,4
gurmukhi,10,5.10,2,0,0,5,3
chinese-simplified,10,2.50,0,4,0,5,1
malayalam,9,5.89,2,1,0,5,1
sinhala,8,6.50,0,0,0,5,3
emoji,8,5.88,1,5,0,2,0
syriac,7,7.43,0,0,1,4,2
ethiopic,6,5.83,1,0,0,3,2
oriya,6,6.33,2,0,0,3,1
canadian-aboriginal,6,8.67,0,0,1,4,1
braille,6,7.00,0,0,2,3,1
armenian,6,8.50,1,0,2,2,1
cherokee,5,9.80,0,1,1,3,0
lao,5,7.40,0,0,0,4,1
adlam,4,5.25,1,0,1,2,0
tifinagh,4,5.50,0,0,0,4,0
lisu,4,6.50,0,1,1,1,1
runic,3,2.67,0,0,0,1,2
chinese-hongkong,3,11.00,0,0,0,1,2
nushu,3,5.00,0,0,0,3,0
georgian,3,8.67,0,0,0,2,1
tibetan,3,3.67,0,0,0,0,3
kayah-li,3,4.33,0,0,0,2,1
myanmar,3,6.67,0,0,0,2,1
gothic,2,2.00,0,0,0,1,1
old-italic,2,2.00,0,0,0,1,1
new-tai-lue,2,7.00,0,0,0,1,1
