event_type,Retain,Condense,Reorder,Omit,Merge,total,retain_pct,omit_pct
Dialogue,357,986,597,369,292,2601,13.7,14.2
Confrontation,974,718,397,266,179,2534,38.4,10.5
Revelation,1037,711,371,245,161,2525,41.1,9.7
Conflict,433,745,460,453,219,2310,18.7,19.6
Romance,317,680,383,375,223,1978,16.0,19.0
Arrival,223,387,306,253,176,1345,16.6,18.8
Journey,232,364,301,268,150,1315,17.6,20.4
Betrayal,247,346,303,247,165,1308,18.9,18.9
Climax,222,362,322,244,150,1300,17.1,18.8
Discovery,228,326,301,279,150,1284,17.8,21.7
