Borough,Zone,other_jan_sunday_avg_trips,jan25_trips,change_vs_other_sundays,pct_change_vs_other_sundays
Staten Island,Heartland Village/Todt Hill,2.0,0.0,-2.0,-1.0
Staten Island,Arrochar/Fort Wadsworth,2.5,0.0,-2.5,-1.0
Queens,Saint Michaels Cemetery/Woodside,5.333333333333333,0.0,-5.333333333333333,-1.0
Manhattan,Battery Park,27.333333333333332,0.0,-27.333333333333332,-1.0
Staten Island,Rossville/Woodrow,1.0,0.0,-1.0,-1.0
Staten Island,Saint George/New Brighton,1.0,0.0,-1.0,-1.0
Staten Island,Grymes Hill/Clifton,2.0,0.0,-2.0,-1.0
Staten Island,Stapleton,1.3333333333333333,0.0,-1.3333333333333333,-1.0
Queens,Jamaica Bay,1.0,0.0,-1.0,-1.0
Bronx,City Island,4.0,0.0,-4.0,-1.0
EWR,Newark Airport,1.5,0.0,-1.5,-1.0
Queens,Breezy Point/Fort Tilden/Riis Beach,1.0,0.0,-1.0,-1.0
Queens,Astoria Park,2.0,0.0,-2.0,-1.0
Staten Island,Westerleigh,1.3333333333333333,0.0,-1.3333333333333333,-1.0
Staten Island,Bloomfield/Emerson Hill,1.5,0.0,-1.5,-1.0
Queens,LaGuardia Airport,2962.0,100.0,-2862.0,-0.9662390276839973
Queens,East Elmhurst,257.6666666666667,25.0,-232.66666666666669,-0.9029754204398448
Manhattan,World Trade Center,494.0,68.0,-426.0,-0.8623481781376519
Queens,JFK Airport,5432.0,781.0,-4651.0,-0.8562223858615611
Brooklyn,DUMBO/Vinegar Hill,155.66666666666666,27.0,-128.66666666666666,-0.8265524625267666
Bronx,Co-Op City,42.0,9.0,-33.0,-0.7857142857142857
Manhattan,Battery Park City,388.6666666666667,89.0,-299.6666666666667,-0.7710120068610635
Manhattan,Lincoln Square East,2936.0,696.0,-2240.0,-0.7629427792915532
Manhattan,Manhattan Valley,883.6666666666666,212.0,-671.6666666666666,-0.7600905318747643
Bronx,Pelham Bay,8.333333333333334,2.0,-6.333333333333334,-0.76
Manhattan,Randalls Island,4.0,1.0,-3.0,-0.75
Manhattan,Upper East Side North,3123.0,809.0,-2314.0,-0.7409542106948447
Manhattan,Midtown Center,2863.6666666666665,744.0,-2119.6666666666665,-0.7401932254685135
Manhattan,Upper West Side South,2808.3333333333335,762.0,-2046.3333333333335,-0.7286646884272997
Bronx,Van Cortlandt Park,7.333333333333333,2.0,-5.333333333333333,-0.7272727272727273
Manhattan,Upper West Side North,1821.6666666666667,510.0,-1311.6666666666667,-0.7200365965233303
Brooklyn,Brooklyn Heights,131.0,37.0,-94.0,-0.7175572519083969
Manhattan,West Chelsea/Hudson Yards,2010.6666666666667,569.0,-1441.6666666666667,-0.7170092838196287
Queens,Flushing Meadows-Corona Park,17.666666666666668,5.0,-12.666666666666668,-0.7169811320754718
Bronx,Bronx Park,3.5,1.0,-2.5,-0.7142857142857143
Manhattan,Penn Station/Madison Sq West,3238.3333333333335,932.0,-2306.3333333333335,-0.7121976325270201
Manhattan,Upper East Side South,3089.3333333333335,901.0,-2188.3333333333335,-0.7083513163573587
Brooklyn,Windsor Terrace,24.0,7.0,-17.0,-0.7083333333333334
Manhattan,Yorkville East,1288.0,376.0,-912.0,-0.7080745341614907
Manhattan,Midtown East,2026.6666666666667,596.0,-1430.6666666666667,-0.705921052631579
Bronx,Belmont,16.666666666666668,5.0,-11.666666666666668,-0.7000000000000001
Manhattan,Lincoln Square West,1048.6666666666667,325.0,-723.6666666666667,-0.6900826446280992
Brooklyn,Prospect Heights,70.66666666666667,22.0,-48.66666666666667,-0.6886792452830189
Manhattan,Chinatown,273.0,85.0,-188.0,-0.6886446886446886
Manhattan,Central Park,1226.0,394.0,-832.0,-0.6786296900489397
