geo_code,country_territory,year,arrivals,precipitation_anomaly_mm,standard_error_mm,arrivals_indicator,precipitation_indicator
AS,American Samoa,2010,40300,1.6,1.1,Tourism Arrivals,Precipitation anomalies
AS,American Samoa,2011,41300,-11.2,1.6,Tourism Arrivals,Precipitation anomalies
AS,American Samoa,2012,50200,-7.9,0.9,Tourism Arrivals,Precipitation anomalies
AS,American Samoa,2013,49300,4.9,1.2,Tourism Arrivals,Precipitation anomalies
AS,American Samoa,2014,51600,1.0,1.1,Tourism Arrivals,Precipitation anomalies
AS,American Samoa,2015,47100,5.7,1.0,Tourism Arrivals,Precipitation anomalies
AS,American Samoa,2016,38300,5.2,1.2,Tourism Arrivals,Precipitation anomalies
AS,American Samoa,2017,42300,8.2,1.0,Tourism Arrivals,Precipitation anomalies
AS,American Samoa,2018,51800,0.8,1.2,Tourism Arrivals,Precipitation anomalies
AS,American Samoa,2019,58600,21.2,0.9,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,1995,476000,-10.9,1.0,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,1996,534000,10.3,1.0,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,1997,547000,8.9,1.5,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,1998,499000,-24.2,0.8,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,1999,544000,19.6,1.2,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,2000,434000,21.7,1.0,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,2001,446000,-1.8,0.8,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,2002,461000,-0.1,0.9,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,2003,451000,-17.8,0.7,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,2004,513000,-10.0,0.9,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,2005,547000,-5.1,0.7,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,2007,542000,10.9,1.1,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,2008,627000,5.4,1.2,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,2009,605000,14.4,1.7,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,2010,692000,0.2,1.1,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,2011,734000,10.5,0.7,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,2012,741000,23.9,1.2,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,2013,769000,8.1,0.9,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,2014,781000,-14.4,0.9,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,2015,869000,-21.0,0.8,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,2016,963000,-0.7,1.3,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,2017,1027000,-2.1,1.2,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,2018,1058000,1.8,1.1,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,2019,969000,19.9,1.0,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,2020,168200,2.1,1.2,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,2021,32000,8.1,1.2,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,2022,652200,12.7,1.4,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,2023,929740,-3.3,0.9,Tourism Arrivals,Precipitation anomalies
FJ,Fiji,2024,928938,16.6,1.5,Tourism Arrivals,Precipitation anomalies
PF,French Polynesia,1995,186000,7.8,0.8,Tourism Arrivals,Precipitation anomalies
PF,French Polynesia,1996,184000,-5.2,0.4,Tourism Arrivals,Precipitation anomalies
PF,French Polynesia,1997,201000,2.3,0.6,Tourism Arrivals,Precipitation anomalies
PF,French Polynesia,1998,211000,20.0,1.1,Tourism Arrivals,Precipitation anomalies
PF,French Polynesia,1999,236000,-9.3,0.4,Tourism Arrivals,Precipitation anomalies
PF,French Polynesia,2007,243000,3.1,0.7,Tourism Arrivals,Precipitation anomalies
PF,French Polynesia,2008,227000,-14.6,0.4,Tourism Arrivals,Precipitation anomalies
PF,French Polynesia,2009,190000,-5.2,0.4,Tourism Arrivals,Precipitation anomalies
PF,French Polynesia,2010,179000,1.9,0.9,Tourism Arrivals,Precipitation anomalies
PF,French Polynesia,2011,196000,-20.4,0.3,Tourism Arrivals,Precipitation anomalies
PF,French Polynesia,2012,210000,-1.5,0.8,Tourism Arrivals,Precipitation anomalies
PF,French Polynesia,2013,214000,1.5,0.8,Tourism Arrivals,Precipitation anomalies
PF,French Polynesia,2014,228000,8.5,0.7,Tourism Arrivals,Precipitation anomalies
PF,French Polynesia,2015,239000,-7.2,0.6,Tourism Arrivals,Precipitation anomalies
PF,French Polynesia,2016,241000,9.7,0.9,Tourism Arrivals,Precipitation anomalies
PF,French Polynesia,2017,254000,1.1,0.6,Tourism Arrivals,Precipitation anomalies
PF,French Polynesia,2018,260000,-5.2,0.8,Tourism Arrivals,Precipitation anomalies
PF,French Polynesia,2019,282000,14.6,0.6,Tourism Arrivals,Precipitation anomalies
PF,French Polynesia,2020,89000,-6.5,0.4,Tourism Arrivals,Precipitation anomalies
PF,French Polynesia,2021,95000,-14.9,0.3,Tourism Arrivals,Precipitation anomalies
PF,French Polynesia,2022,261400,-9.6,0.8,Tourism Arrivals,Precipitation anomalies
GU,Guam,2020,328173,-12.4,0.8,Tourism Arrivals,Precipitation anomalies
GU,Guam,2021,79389,-5.4,0.9,Tourism Arrivals,Precipitation anomalies
GU,Guam,2022,326878,-1.3,0.9,Tourism Arrivals,Precipitation anomalies
GU,Guam,2023,656518,15.2,0.9,Tourism Arrivals,Precipitation anomalies
GU,Guam,2024,739146,-8.3,1.0,Tourism Arrivals,Precipitation anomalies
KI,Kiribati,1999,20300,-29.7,0.2,Tourism Arrivals,Precipitation anomalies
KI,Kiribati,2000,13400,-26.1,0.1,Tourism Arrivals,Precipitation anomalies
KI,Kiribati,2001,14500,-12.9,0.3,Tourism Arrivals,Precipitation anomalies
KI,Kiribati,2002,119500,25.4,0.7,Tourism Arrivals,Precipitation anomalies
KI,Kiribati,2003,130100,5.0,0.9,Tourism Arrivals,Precipitation anomalies
KI,Kiribati,2004,63900,-1.5,0.4,Tourism Arrivals,Precipitation anomalies
KI,Kiribati,2005,50200,-2.6,0.5,Tourism Arrivals,Precipitation anomalies
KI,Kiribati,2006,10800,-0.3,0.6,Tourism Arrivals,Precipitation anomalies
KI,Kiribati,2007,32300,-6.8,0.7,Tourism Arrivals,Precipitation anomalies
KI,Kiribati,2014,8300,4.9,0.7,Tourism Arrivals,Precipitation anomalies
KI,Kiribati,2015,8200,50.3,1.0,Tourism Arrivals,Precipitation anomalies
KI,Kiribati,2016,7600,13.0,1.6,Tourism Arrivals,Precipitation anomalies
