pickup_hour,date,hour,day_name,is_weekend,raw_trip_count,valid_trip_count,valid_trip_share,temperature_f,precipitation_in,rain_in,snowfall_in,wind_speed_mph,weather_code,weather_label,has_precipitation,has_rain,has_snow,avg_trip_distance_miles,median_trip_distance_miles,avg_trip_duration_min,avg_fare_amount,avg_tip_amount,avg_total_amount,airport_fee_trip_count,card_payment_trip_count
2026-01-01 00:00:00,2026-01-01,0,Thursday,False,9294,9043,0.9729933290294814,30.2,0.0,0.0,0.0,8.1,3,cloudy,False,False,False,3.4818124516200375,2.34,17.842428766264884,24.254018577905562,2.113754285082384,32.245937188985955,182,4262
2026-01-01 01:00:00,2026-01-01,1,Thursday,False,10254,9940,0.9693778037838893,30.6,0.004,0.0,0.028,8.1,71,snow,True,False,True,3.7056207243460766,2.55,17.554616029510395,31.512016096579476,1.8191167002012072,39.27820724346076,42,3726
2026-01-01 02:00:00,2026-01-01,2,Thursday,False,7853,7531,0.9589965618235069,31.3,0.004,0.0,0.028,8.3,71,snow,True,False,True,3.7897875448147658,2.7,15.999891559332537,27.291013145664586,1.9458677466471916,34.907206214314165,31,3332
2026-01-01 03:00:00,2026-01-01,3,Thursday,False,6529,6297,0.9644662275999387,31.7,0.0,0.0,0.0,8.3,3,cloudy,False,False,False,4.152226457043036,3.03,15.756262241278916,25.43448785135779,1.4884167063681117,32.54021279974591,30,2157
2026-01-01 04:00:00,2026-01-01,4,Thursday,False,4108,3940,0.9591041869522883,32.7,0.0,0.0,0.0,8.7,3,cloudy,False,False,False,4.216964467005076,3.0149999999999997,14.96688663282572,23.705548223350252,1.3135888324873097,30.59398730964467,12,1236
2026-01-01 05:00:00,2026-01-01,5,Thursday,False,2224,2119,0.9527877697841727,33.2,0.0,0.0,0.0,9.5,3,cloudy,False,False,False,4.912194431335536,3.58,15.425546641497561,24.740613496932514,1.3539310995752714,31.300632373761204,74,504
2026-01-01 06:00:00,2026-01-01,6,Thursday,False,2092,2027,0.9689292543021033,32.8,0.0,0.0,0.0,9.2,3,cloudy,False,False,False,5.146364084854465,3.66,16.471978293043907,30.68573260976813,1.2982042427232363,37.26401085347804,125,431
2026-01-01 07:00:00,2026-01-01,7,Thursday,False,1930,1865,0.966321243523316,32.2,0.008,0.0,0.055,10.2,71,snow,True,False,True,5.346418230563002,3.58,15.328659517426274,27.70132439678284,1.7265683646112602,34.519136729222524,141,519
2026-01-01 08:00:00,2026-01-01,8,Thursday,False,1719,1646,0.9575334496800465,27.5,0.028,0.0,0.193,13.1,73,snow,True,False,True,4.761524908869988,2.91,14.113021466180639,23.563444714459294,1.8110692588092345,30.711573511543136,93,555
2026-01-01 09:00:00,2026-01-01,9,Thursday,False,2245,2162,0.9630289532293986,24.7,0.0,0.0,0.0,13.2,0,clear,False,False,False,4.295975948196115,2.5,13.421746839346284,21.781845513413504,2.116618871415356,29.6577289546716,161,907
