pickup_borough,pickup_zone,baseline_avg_daily_trips,snow_day_trips,change_vs_baseline,pct_change_vs_baseline
Queens,LaGuardia Airport,2697.4,100.0,-2597.4,-0.9629272632905761
Queens,East Elmhurst,226.43333333333334,25.0,-201.43333333333334,-0.8895922272928014
Manhattan,Battery Park City,717.8666666666667,89.0,-628.8666666666667,-0.8760215453194651
Manhattan,World Trade Center,494.1333333333333,68.0,-426.1333333333333,-0.8623853211009175
Manhattan,Midtown Center,4697.133333333333,744.0,-3953.133333333333,-0.8416055182593639
Manhattan,Upper East Side North,4919.133333333333,809.0,-4110.133333333333,-0.8355401357962785
Queens,JFK Airport,4645.133333333333,781.0,-3864.133333333333,-0.8318670436442441
Manhattan,Midtown East,3485.6,596.0,-2889.6,-0.8290107872389259
Manhattan,Upper East Side South,5127.633333333333,901.0,-4226.633333333333,-0.8242854078229722
Brooklyn,DUMBO/Vinegar Hill,149.6,27.0,-122.6,-0.81951871657754
Manhattan,Lincoln Square East,3520.733333333333,696.0,-2824.733333333333,-0.8023139118744201
Manhattan,Manhattan Valley,1003.1666666666666,212.0,-791.1666666666666,-0.7886692141551753
Manhattan,Yorkville East,1777.2333333333333,376.0,-1401.2333333333333,-0.7884352082825365
Manhattan,Upper West Side North,2321.9666666666667,510.0,-1811.9666666666667,-0.7803586040569058
Manhattan,Lenox Hill East,2486.8,555.0,-1931.8000000000002,-0.7768216181437992
Brooklyn,Brooklyn Heights,165.0,37.0,-128.0,-0.7757575757575758
Manhattan,Lincoln Square West,1445.3333333333333,325.0,-1120.3333333333333,-0.7751383763837638
Manhattan,Upper West Side South,3123.0,762.0,-2361.0,-0.7560038424591738
Manhattan,Murray Hill,2980.8333333333335,778.0,-2202.8333333333335,-0.738999161308359
Manhattan,Penn Station/Madison Sq West,3527.1666666666665,932.0,-2595.1666666666665,-0.735765250673345
Manhattan,Midtown North,2739.733333333333,725.0,-2014.7333333333331,-0.7353757056647848
Manhattan,West Chelsea/Hudson Yards,2078.0,569.0,-1509.0,-0.7261790182868142
Manhattan,Central Park,1376.1,394.0,-982.0999999999999,-0.7136835985756849
Manhattan,Union Sq,3060.1666666666665,891.0,-2169.1666666666665,-0.7088393878329067
Manhattan,Sutton Place/Turtle Bay North,1940.7333333333333,569.0,-1371.7333333333333,-0.7068118580605269
Manhattan,UN/Turtle Bay South,1260.2666666666667,370.0,-890.2666666666667,-0.7064113415150233
Manhattan,Lenox Hill West,2792.1,823.0,-1969.1,-0.7052397836753698
Manhattan,East Chelsea,2913.7,875.0,-2038.6999999999998,-0.6996945464529636
Manhattan,Chinatown,280.8,85.0,-195.8,-0.6972934472934473
Manhattan,Garment District,1469.7,487.0,-982.7,-0.6686398584745186
Manhattan,Morningside Heights,679.7,227.0,-452.70000000000005,-0.6660291304987495
Manhattan,Midtown South,2234.1,774.0,-1460.1,-0.6535517658117362
Manhattan,Bloomingdale,367.7,129.0,-238.7,-0.6491705194451999
Manhattan,Hudson Sq,559.4333333333333,199.0,-360.4333333333333,-0.6442829053208604
Manhattan,Central Harlem,595.1666666666666,217.0,-378.16666666666663,-0.6353962475497059
Manhattan,TriBeCa/Civic Center,1601.2333333333333,586.0,-1015.2333333333333,-0.6340321002560526
Manhattan,Times Sq/Theatre District,3359.0,1237.0,-2122.0,-0.6317356356058351
Manhattan,Yorkville West,2364.866666666667,882.0,-1482.8666666666668,-0.6270402841597835
Manhattan,East Harlem South,999.3666666666667,402.0,-597.3666666666667,-0.5977452386511457
Manhattan,Gramercy,2289.9333333333334,933.0,-1356.9333333333334,-0.5925645579201724
Manhattan,Greenwich Village North,1598.9666666666667,653.0,-945.9666666666667,-0.5916112489316017
Manhattan,Flatiron,1750.7666666666667,722.0,-1028.7666666666667,-0.5876092378577005
Brooklyn,Downtown Brooklyn/MetroTech,144.43333333333334,63.0,-81.43333333333334,-0.5638126009693053
Manhattan,Stuy Town/Peter Cooper Village,316.1,138.0,-178.10000000000002,-0.5634292945270485
Manhattan,Manhattanville,163.26666666666668,72.0,-91.26666666666668,-0.5590036749693753
Manhattan,SoHo,909.4,404.0,-505.4,-0.5557510446448207
